,GAME_ID,i_id,i_lineup,i_margin,i_time,index,j_id,j_lineup,j_margin,j_time,level_0,season,was_home_correct,starting,date,prediction_by_matchup_u,prediction_by_matchup_w,k
0,0020800046,1610612742,"(101138, 1891, 2572, 200826, 2205)",-2,77,1390,1610612739,"(2760, 2544, 200789, 2590, 1887)",2,77,1392,2008,True,0,2008-11-03,-3.6284139827,-3.51876240164,0.0
1,0020800042,1610612766,"(2202, 201162, 2731, 101109, 2222)",-7,232,1270,1610612765,"(1888, 101161, 2419, 201155, 739)",7,232,1272,2008,False,1,2008-11-03,-6.66646449002,-3.85460626499,0.0
2,0020800011,1610612759,"(2225, 2427, 2588, 703, 2137)",3,35,340,1610612756,"(201609, 2571, 2564, 255, 201577)",-3,35,340,2008,True,0,2008-10-29,2.24694420141,12.0756583906,0.0
3,0020800030,1610612765,"(1888, 1497, 2419, 739, 200835)",-1,10,949,1610612764,"(1712, 1498, 2443, 201156, 201187)",1,10,951,2008,False,0,2008-11-01,6.3182420225,4.50861918301,0.0
4,0020800013,1610612762,"(1905, 2594, 2430, 1510, 2246)",-4,58,410,1610612743,"(200764, 2403, 2747, 947, 1853)",4,58,411,2008,True,0,2008-10-29,-7.31082674854,5.2709776223,0.0
5,0020800032,1610612750,"(2744, 1563, 2034, 101155, 201147)",-2,66,1000,1610612742,"(956, 1891, 2572, 1717, 467)",2,66,1002,2008,True,0,2008-11-01,-5.7796297582,-5.90027218666,0.0
6,0020800038,1610612762,"(1905, 2594, 2430, 200794, 1510)",-3,144,1177,1610612746,"(201154, 1749, 2549, 201446, 1501)",3,144,1179,2008,True,0,2008-11-01,2.30845000049,-5.66416291894,0.0
7,0020800031,1610612751,"(1713, 2250, 2039, 200767, 201583)",2,27,965,1610612744,"(1536, 201634, 101235, 1733, 101142)",-2,27,967,2008,True,0,2008-11-01,-0.839268235848,2.63418238508,0.0
8,0020800024,1610612746,"(201154, 2549, 1749, 201446, 1501)",0,10,747,1610612743,"(2747, 947, 2563, 436, 1853)",0,10,749,2008,True,0,2008-10-31,3.46646572428,11.2239396702,0.0
9,0020800060,1610612762,"(1905, 101179, 2430, 2246, 200758)",1,6,1827,1610612757,"(2038, 200746, 201164, 2581, 200750)",-1,6,1830,2008,True,0,2008-11-05,1.88156588952,22.9072341757,0.0
10,0020800043,1610612753,"(2730, 2586, 1740, 2045, 2749)",-2,377,1329,1610612741,"(2400, 2804, 2732, 201565, 2550)",2,377,1331,2008,True,0,2008-11-03,-3.57997465037,-12.2668832968,0.0
11,0020800059,1610612760,"(2248, 201145, 2555, 2404, 201142)",-3,36,1808,1610612738,"(951, 200796, 200765, 1718, 201175)",3,36,1811,2008,True,0,2008-11-05,-3.35202326349,-0.501521215707,0.0
12,0020800013,1610612762,"(1905, 200758, 2430, 1510, 2246)",-2,42,387,1610612743,"(2563, 2403, 947, 2030, 1853)",2,42,388,2008,True,0,2008-10-29,-2.64620552498,10.1634596543,0.0
13,0020800049,1610612745,"(1897, 1747, 2397, 1503, 2449)",-1,567,1489,1610612738,"(2570, 708, 200765, 1718, 951)",1,567,1491,2008,True,0,2008-11-04,3.26530246881,-26.3933386568,0.0
14,0020800019,1610612755,"(2416, 2584, 201578, 2501, 101150)",0,2,590,1610612752,"(201568, 200776, 101194, 101126, 101135)",0,2,591,2008,True,0,2008-10-31,7.79454812652,1.6666042056,0.0
15,0020800063,1610612747,"(2772, 200770, 101115, 2756, 1885)",6,81,1922,1610612746,"(1729, 2549, 200781, 201446, 201569)",-6,81,1925,2008,True,0,2008-11-05,-7.609375,1.11533207498e+13,0.0
16,0020800062,1610612744,"(1536, 2740, 101235, 201228, 201148)",5,117,1900,1610612743,"(2403, 2546, 2563, 1853, 2030)",-5,117,1903,2008,True,0,2008-11-05,0.894007020941,0.335109793162,0.0
