,game_ids,home_ids,away_ids
0,0020800001,1610612738,1610612739
1,0020800002,1610612741,1610612749
2,0020800003,1610612747,1610612757
3,0020800004,1610612753,1610612737
4,0020800005,1610612755,1610612761
5,0020800006,1610612764,1610612751
6,0020800007,1610612752,1610612748
7,0020800008,1610612765,1610612754
8,0020800009,1610612750,1610612758
9,0020800010,1610612760,1610612749
10,0020800011,1610612759,1610612756
11,0020800012,1610612745,1610612763
12,0020800013,1610612762,1610612743
13,0020800014,1610612744,1610612740
14,0020800015,1610612746,1610612747
15,0020800016,1610612739,1610612766
16,0020800017,1610612742,1610612745
17,0020800018,1610612756,1610612740
18,0020800019,1610612755,1610612752
19,0020800020,1610612761,1610612744
20,0020800021,1610612748,1610612758
21,0020800022,1610612738,1610612741
22,0020800023,1610612763,1610612753
23,0020800024,1610612746,1610612743
24,0020800025,1610612757,1610612759
25,0020800026,1610612737,1610612755
26,0020800027,1610612766,1610612748
27,0020800028,1610612754,1610612738
28,0020800029,1610612753,1610612758
29,0020800030,1610612765,1610612764
30,0020800031,1610612751,1610612744
31,0020800032,1610612750,1610612742
32,0020800033,1610612740,1610612739
33,0020800034,1610612741,1610612763
34,0020800035,1610612745,1610612760
35,0020800036,1610612749,1610612761
36,0020800037,1610612743,1610612747
37,0020800038,1610612762,1610612746
38,0020800039,1610612756,1610612757
39,0020800040,1610612752,1610612749
40,0020800041,1610612760,1610612750
41,0020800042,1610612766,1610612765
42,0020800043,1610612753,1610612741
43,0020800044,1610612755,1610612758
44,0020800045,1610612763,1610612744
45,0020800046,1610612742,1610612739
46,0020800047,1610612746,1610612762
47,0020800048,1610612751,1610612756
48,0020800049,1610612745,1610612738
49,0020800050,1610612759,1610612742
50,0020800051,1610612754,1610612756
51,0020800052,1610612761,1610612765
52,0020800053,1610612748,1610612755
53,0020800054,1610612752,1610612766
54,0020800055,1610612739,1610612741
55,0020800056,1610612749,1610612764
56,0020800057,1610612750,1610612759
57,0020800058,1610612740,1610612737
58,0020800059,1610612760,1610612738
59,0020800060,1610612762,1610612757
60,0020800061,1610612758,1610612763
61,0020800062,1610612744,1610612743
62,0020800063,1610612747,1610612746
63,0020800064,1610612753,1610612755
64,0020800065,1610612757,1610612745
65,0020800066,1610612766,1610612740
66,0020800067,1610612764,1610612752
67,0020800068,1610612737,1610612761
68,0020800069,1610612738,1610612749
69,0020800070,1610612739,1610612754
70,0020800071,1610612751,1610612765
71,0020800072,1610612759,1610612748
72,0020800073,1610612741,1610612756
73,0020800074,1610612762,1610612760
74,0020800075,1610612758,1610612750
75,0020800076,1610612743,1610612742
76,0020800077,1610612744,1610612763
77,0020800078,1610612746,1610612745
78,0020800079,1610612754,1610612751
79,0020800080,1610612753,1610612764
80,0020800081,1610612740,1610612748
81,0020800082,1610612741,1610612739
82,0020800083,1610612749,1610612756
83,0020800084,1610612757,1610612750
84,0020800085,1610612766,1610612761
85,0020800086,1610612752,1610612762
86,0020800087,1610612746,1610612742
87,0020800088,1610612765,1610612738
88,0020800089,1610612760,1610612737
89,0020800090,1610612743,1610612763
90,0020800091,1610612758,1610612744
91,0020800092,1610612747,1610612745
92,0020800093,1610612754,1610612760
93,0020800094,1610612753,1610612757
94,0020800095,1610612738,1610612761
95,0020800096,1610612748,1610612751
96,0020800097,1610612756,1610612763
97,0020800098,1610612766,1610612743
98,0020800099,1610612739,1610612749
99,0020800100,1610612755,1610612762
100,0020800101,1610612741,1610612737
101,0020800102,1610612742,1610612747
102,0020800103,1610612759,1610612752
103,0020800104,1610612758,1610612765
104,0020800105,1610612744,1610612750
105,0020800106,1610612761,1610612755
106,0020800107,1610612738,1610612737
107,0020800108,1610612748,1610612757
